country	capital	area	population	continent	currency
Sri Lanka	Colombo	65610	21444000	Asia	rupee
Sudan	Khartoum	1886068	40533330	Africa	pound
Suriname	Paramaribo	163270	563402	South America	dollar
Sweden	Stockholm	528861	10379295	Europe	krona
Switzerland	Bern	41285	8466017	Europe	franc
Syria	Damascus	185180	18499181	Asia	pound
São Tomé and Príncipe	São Tomé	1001	204327	Africa	dobra
Taiwan	Taipei	36193	23593794	Asia	dollar
Tajikistan	Dushanbe	143100	8921343	Asia	somoni
Tanzania	Dodoma	947303	57310019	Africa	shilling
Thailand	Bangkok	513120	65931550	Asia	baht
The Bahamas	Nassau	13878	395361	North America	dollar
The Gambia	Banjul	11300	2100568	Africa	dalasi
Togo	Lomé	56785	7797694	Africa	franc
Tonga	Nuku'alofa	749	108020	insular Oceania	paʻanga
Trinidad and Tobago	Port of Spain	5128	1369125	North America	dollar
Tunisia	Tunis	163610	11565204	Africa	dinar
Turkey	Ankara	783562	83614362	Asia	lira
Turkmenistan	Ashgabat	491210	5850901	Asia	manat
Tuvalu	Funafuti	26	11192	insular Oceania	dollar
Uganda	Kampala	241038	42862958	Africa	shilling
Ukraine	Kyiv	603629	42558328	Europe	hryvnia
United Arab Emirates	Abu Dhabi	83600	9400145	Asia	dirham
the United Kingdom	London	242495	66022273	Europe	pound sterling
the United States	Washington, D.C.	9826675	331449281	North America	dollar
Uruguay	Montevideo	176215	3456750	South America	peso
Uzbekistan	Tashkent	448978	33570609	Asia	som
Vanuatu	Port Vila	12190	276244	insular Oceania	vatus
Venezuela	Caracas	916445	28515829	South America	bolivar
Vietnam	Hanoi	331690	94660000	Asia	dong
Yemen	Sanaa	555000	28250420	Asia	rial
Zambia	Lusaka	752618	17094130	Africa	kwacha
Zimbabwe	Harare	390757	16529904	Africa	dollar
